topic,question_type,model,score,experiment,score_factuality,score_relevance,score_groundedness,score_helpfulness,score_depth
CLIMATE INDICATORS,Exploratory,mistral-small-2503,4.93,2rag,5.0,5.0,4.67,5.0,5.0
CLIMATE INDICATORS,Exploratory,mistral-small-2503,4.8,rag,5.0,5.0,4.0,5.0,5.0
CLIMATE INDICATORS,Exploratory,mistral-small-2503,5.0,zero_shot,5.0,5.0,5.0,5.0,5.0
CLIMATE INDICATORS,Comparative,mistral-small-2503,5.0,2rag,5.0,5.0,5.0,5.0,5.0
CLIMATE INDICATORS,Comparative,mistral-small-2503,4.73,rag,5.0,5.0,5.0,4.33,4.33
CLIMATE INDICATORS,Comparative,mistral-small-2503,4.67,zero_shot,5.0,5.0,3.67,4.67,5.0
CLIMATE INDICATORS,Descriptive,mistral-small-2503,5.0,2rag,5.0,5.0,5.0,5.0,5.0
CLIMATE INDICATORS,Descriptive,mistral-small-2503,4.93,rag,5.0,5.0,5.0,5.0,4.67
CLIMATE INDICATORS,Descriptive,mistral-small-2503,4.93,zero_shot,5.0,5.0,4.67,5.0,5.0
CLIMATE INDICATORS,Causal,mistral-small-2503,4.93,2rag,5.0,5.0,5.0,5.0,4.67
CLIMATE INDICATORS,Causal,mistral-small-2503,4.87,rag,5.0,5.0,5.0,5.0,4.33
CLIMATE INDICATORS,Causal,mistral-small-2503,4.2,zero_shot,5.0,5.0,3.33,4.0,3.67
CLIMATE INDICATORS,Relational,mistral-small-2503,4.93,2rag,5.0,5.0,4.67,5.0,5.0
CLIMATE INDICATORS,Relational,mistral-small-2503,4.6,rag,5.0,5.0,3.67,4.67,4.67
CLIMATE INDICATORS,Relational,mistral-small-2503,4.93,zero_shot,5.0,5.0,4.67,5.0,5.0
SOLID EARTH,Exploratory,mistral-small-2503,5.0,2rag,5.0,5.0,5.0,5.0,5.0
SOLID EARTH,Exploratory,mistral-small-2503,4.67,rag,5.0,5.0,4.33,4.67,4.33
SOLID EARTH,Exploratory,mistral-small-2503,4.73,zero_shot,5.0,5.0,4.0,4.67,5.0
SOLID EARTH,Comparative,mistral-small-2503,5.0,2rag,5.0,5.0,5.0,5.0,5.0
SOLID EARTH,Comparative,mistral-small-2503,4.87,rag,5.0,5.0,5.0,4.67,4.67
SOLID EARTH,Comparative,mistral-small-2503,4.8,zero_shot,5.0,5.0,4.0,5.0,5.0
SOLID EARTH,Descriptive,mistral-small-2503,5.0,2rag,5.0,5.0,5.0,5.0,5.0
SOLID EARTH,Descriptive,mistral-small-2503,4.73,rag,5.0,5.0,4.0,5.0,4.67
SOLID EARTH,Descriptive,mistral-small-2503,4.67,zero_shot,5.0,5.0,4.0,5.0,4.33
SOLID EARTH,Causal,mistral-small-2503,5.0,2rag,5.0,5.0,5.0,5.0,5.0
